,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Even When The Water's Cold,!!!,2UjEyfnKzaY7qpBEeESJjv,alternative dance,2013,50,0.709,0.831,2,-6.847,0,0.0391,0.108,0.00128,0.159,0.866,104.971,227067,4
1,Maria Teresa y Danilo,Hansel Y Raul,5D1P4P7IxymGprWdbaq8N4,salsa,2002-03-19,53,0.576,0.745,9,-4.75,0,0.0713,0.662,0.000135,0.0818,0.906,162.071,287138,4
2,You’re The Best Thing About Me,U2,73VrGWg4I2DJiWXtbseyiG,irish rock,2017-09-06,0,0.653,0.775,2,-6.723,1,0.0366,0.00181,0.0,0.331,0.82,117.016,225738,4
3,No One Higher,Aaron Shust,1nt3853bEskHySwKBClMrn,anthem worship,2013-01-01,0,0.427,0.706,0,-5.706,1,0.0318,0.0622,0.0,0.107,0.295,143.963,271027,4
4,Get Her Tho (feat. Tyga),D-Lo,1HDi7xRK2Tnw7nk0Q56OAF,cali rap,2014-03-18,40,0.835,0.661,10,-5.968,0,0.0487,0.0296,0.0,0.124,0.194,96.529,162124,4
5,Side Effects,Dallas Smith,37Gro0mrK61SuO5Y9jRUjh,canadian contemporary country,2016-09-02,40,0.627,0.854,4,-3.932,1,0.0368,0.00325,1.04e-06,0.114,0.703,110.058,177401,4
6,Over and Over,The Goo Goo Dolls,7aJRfhXQ5Y5Dr3NU4gnXBh,alternative rock,2016-05-06,41,0.557,0.827,3,-4.918,1,0.0344,0.0127,5.79e-05,0.0883,0.182,123.044,247867,4
7,The Last DJ,Tom Petty and the Heartbreakers,0uUy3WK0JtTqhSFikqprgz,album rock,2002-10-08,43,0.597,0.76,9,-3.94,0,0.0291,0.0134,7.9e-06,0.41,0.498,131.772,227987,4
8,The Sweet Escape,Gwen Stefani,26eOTllWPn7oKuDUJnsJwF,dance pop,2006-01-01,0,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,246467,4
9,Tomorrow Goes Away,Delta Spirit,3zUE1KfsaIoIarrpzK4sxo,deep new americana,2007,0,0.693,0.707,1,-7.316,0,0.0499,0.609,0.0,0.307,0.559,131.916,90040,3
10,Rave On,M. Ward,3Fg05vMZmqVx3jttlMucTz,alternative country,2009-01-01,10,0.328,0.778,3,-5.779,1,0.049,0.051,0.0,0.386,0.599,113.228,215733,4
11,Play,Kate Nash,3GSDW7uBeyhgN6fv8liq32,anti-folk,2007-08-06,23,0.832,0.486,7,-8.744,1,0.0748,0.0604,0.00688,0.0711,0.885,119.919,72853,4
12,Release,Imagine Dragons,2AObzKd3JYIWQqQ067Z0YI,modern rock,2015-02-17,0,0.525,0.402,2,-11.117,0,0.0277,0.85,3.8e-05,0.119,0.467,104.59,148187,4
13,Faded - Dash Berlin Remix,Alan Walker,1FZ90IoWFZlubV6bjyyEwq,electro house,2016-04-29,50,0.388,0.915,6,-3.293,1,0.0462,0.000628,0.0131,0.146,0.102,127.823,215413,4
14,Obviously,Gramatik,5OV4U8bYY2WN9hBuzzqwPB,downtempo,2014-01-25,37,0.756,0.522,7,-5.14,1,0.151,0.252,1.13e-06,0.15,0.761,97.036,235102,4
15,Clap Back,Ja Rule,1FK0sZfZzCAIDUn7htCemp,dance pop,2003-01-01,61,0.632,0.786,9,-5.596,1,0.354,0.0415,1.2e-05,0.0527,0.699,94.499,296467,4
16,Faded - Tungevaag & Raaban Remix,Alan Walker,57AFWR67E11MBJMIaOApfZ,electro house,2016-04-29,47,0.638,0.81,6,-6.836,1,0.0671,0.00742,0.0475,0.101,0.155,128.041,251507,4
17,Nocturnal Rainbows,Hopsin,6iVp2prwrEaeh9f18iP2jt,conscious hip hop,2010-11-19,51,0.608,0.845,10,-5.007,0,0.119,0.168,0.0,0.0712,0.549,81.997,306524,4
18,Overture,Bill Conti,0cOohRgFL2Q3sfAwsy2TIB,classic soundtrack,1979-01-01,42,0.352,0.491,0,-14.843,1,0.0512,0.248,0.77,0.0946,0.428,154.281,518227,4
19,The Energy Never Dies,The Script,5W2FRXOq70ADDROFMvWky8,celtic rock,2014-09-15,49,0.546,0.792,7,-5.222,1,0.0306,0.0807,0.0,0.237,0.478,137.515,255107,4
20,She South Dallas Swag,T-Wayne,7oBweToCvBuqowe1YEhaSd,houston rap,2013-10-08,20,0.743,0.495,1,-6.708,1,0.1,0.0399,0.0,0.0691,0.55,145.01,254825,4
21,Me Too,Toby Keith,5Jy6TexjmznhnsWqRLkiSi,contemporary country,1996-01-01,28,0.667,0.531,7,-8.845,1,0.0252,0.413,1.25e-06,0.136,0.465,86.801,233107,4
22,One Of Those Nights - Radio Edit,Tim McGraw,1UafwyGQRo7BXijO1h3nGR,contemporary country,2012-01-01,32,0.526,0.798,7,-4.563,1,0.0317,0.0105,0.0,0.0789,0.427,127.073,223707,4
